,sigma8,Omega_cdm,Omega_b,h,n_s
23937,0.8527382,0.26673561820972574,0.04876432823170473,0.6748422,1.003897
23938,0.8438191,0.2635788238440617,0.048582008091483914,0.6774232,1.003359
23939,0.8323659,0.2583409456749117,0.047690758595407355,0.6819155,1.000106
23940,0.8186728,0.2512389551461113,0.046898603631599645,0.6884365,1.000872
23941,0.817235,0.24976542365635312,0.04671599357879779,0.6897472,1.001385
23942,0.812003,0.24391616755185666,0.0460872418507215,0.6956851,1.002709
23943,0.8181011,0.2442632192124311,0.046290100145562625,0.6954483,1.003583
23944,0.8106293,0.24136970063309507,0.046030209544223565,0.6985379,1.00405
23945,0.8221756,0.25054726019609164,0.04722051728809495,0.6901751,1.005852
23946,0.8223795,0.253030025743791,0.04769545380611998,0.687997,1.003778
23947,0.8261999,0.2544463685069109,0.04770898580229504,0.6865588,1.004291
23948,0.8209642,0.2515443358417871,0.047329816827745716,0.6890517,1.005087
23949,0.8203064,0.24852829526307715,0.04683705723146234,0.6914935,1.004695
23950,0.8222871,0.2496440101469409,0.04689671843174321,0.6905411,1.003221
23951,0.826901,0.2545590666613889,0.04731734069760269,0.6857111,1.00242
23952,0.8216956,0.2526561190201641,0.04709555478376983,0.6874364,1.00194
23953,0.8215849,0.25259380663343334,0.0471078710144475,0.6874875,1.002622
23954,0.8221897,0.2501409519805384,0.04688374053253292,0.689898,1.001536
23955,0.8156494,0.2483105682270391,0.04666875051547944,0.6914944,0.9997957
23956,0.8179375,0.24964362228512807,0.046677270209183,0.6900719,1.000239
23957,0.8288347,0.2557190660869017,0.04743481944578645,0.6849247,1.000873
23958,0.8278931,0.2551920548137249,0.047367012721727934,0.6853892,1.00063
23959,0.8325016,0.25840033754518665,0.047856816260927866,0.6826103,1.002747
23960,0.8385253,0.26315073787035304,0.04858729500099423,0.6785407,0.9992994
23961,0.8386259,0.2620572554324897,0.04857966961900968,0.6793884,1.000983
23962,0.8376889,0.2604397215375505,0.04844231273556673,0.6809211,1.001795
23963,0.8340096,0.2589054035315364,0.04822471293940692,0.6823108,1.000689
23964,0.8380822,0.2634135632022166,0.04869918104569396,0.6784394,1.001656
23965,0.8393199,0.2645092552343238,0.04880343799201215,0.6774933,1.000816
23966,0.8413797,0.2634603588488845,0.048617684444951965,0.6783853,1.000106
23967,0.843218,0.2636986902315578,0.048594556727367975,0.6782235,1.000719
23968,0.8197305,0.25015412412524013,0.04715476913401113,0.6902141,1.003004
23969,0.8231599,0.2516847548695866,0.047448378049085256,0.6889105,1.001358
23970,0.8236323,0.2518643420848096,0.047465513807758604,0.6887323,1.001388
23971,0.822147,0.25152530676191176,0.04740851082447866,0.6890192,1.000848
23972,0.8194843,0.2463152781467214,0.046877401195913965,0.6937955,1.000932
23973,0.8030166,0.24052085507302284,0.0462812346146265,0.699683,1.002866
23974,0.8023244,0.2420144432465652,0.046439412473169774,0.6982249,1.003271
23975,0.810127,0.2475024334243695,0.04701897158749855,0.693202,1.001258
23976,0.8059361,0.2468792646883849,0.046910404786262,0.6936058,1.000036
23977,0.8070059,0.24719099443886738,0.04692743731824945,0.6933072,1.002472
23978,0.8355437,0.26046651268498144,0.048629337434953554,0.6813111,1.003041
23979,0.831327,0.25828164845986595,0.04829561384416856,0.6834906,1.001136
23980,0.8315578,0.25786044099442984,0.04826805179180351,0.6838975,1.001681
23981,0.8274117,0.25537523860699063,0.04799111167936632,0.6861659,1.001458
23982,0.8284407,0.2512590069454175,0.04761374482653606,0.6897366,1.000319
23983,0.8281184,0.25095585687590655,0.04717713726415427,0.6894801,0.9977854
23984,0.8218408,0.24518602605662265,0.04630751032739768,0.6948548,0.9996675
23985,0.8240412,0.24501099259706124,0.04631593947993388,0.6950642,0.9981667
23986,0.8229157,0.24434415796176293,0.046254866985686094,0.6956794,0.9985679
23987,0.8291772,0.24511249127731127,0.046311550825077305,0.6948234,1.000786
23988,0.8337697,0.2536216978732734,0.046975105562727555,0.6867627,1.004114
23989,0.8355717,0.2574513434206256,0.04746564714148381,0.6834252,1.003269
23990,0.8346662,0.2574962188080783,0.04746225807467468,0.683379,1.002356
23991,0.8191293,0.2459052450423318,0.047217730041389065,0.6949076,1.000479
23992,0.8130517,0.24307527208491458,0.04688553416379188,0.697499,0.9985022
23993,0.8126099,0.24499121377294972,0.04677165338620891,0.6953817,0.9968467
