,sigma8,Omega_cdm,Omega_b,h,n_s,tau
30480,0.81604088,0.27473914,0.050086151,0.66481924,0.95939173,0.049244128
30481,0.81056204,0.26765445,0.049407593,0.67029954,0.96275867,0.053253026
30482,0.81021628,0.26701835,0.049370219,0.67078573,0.96282601,0.053370977
30483,0.81339286,0.27381999,0.050131271,0.66588194,0.95990215,0.053006936
30484,0.81237038,0.27161805,0.05003218,0.66807861,0.96184671,0.051270951
30485,0.81085598,0.27441797,0.050200709,0.66595274,0.95999772,0.047218361
30486,0.81457566,0.26835465,0.049520122,0.67100349,0.9639767,0.057250502
30487,0.81793839,0.26101713,0.048955765,0.67666205,0.96928215,0.064305264
30488,0.81650337,0.26002183,0.048929499,0.67746225,0.97023554,0.064199064
30489,0.81748365,0.26044873,0.048928395,0.67704593,0.969113,0.065260058
30490,0.81681462,0.26286288,0.049108114,0.67527222,0.96784455,0.063027287
30491,0.81689199,0.26293179,0.04911545,0.67521872,0.96782938,0.063070676
30492,0.81762464,0.26909599,0.049887246,0.6706042,0.96386425,0.058530761
30493,0.81766704,0.26907517,0.049885781,0.67061777,0.96382157,0.058646588
30494,0.80621462,0.2596039,0.048879879,0.67737645,0.96290973,0.051406691
30495,0.80580773,0.2584109,0.048825713,0.67860024,0.963911,0.0512881
30496,0.80813346,0.25747183,0.048786085,0.67995327,0.96435686,0.053865894
30497,0.80731724,0.25771874,0.048775565,0.67973826,0.96427938,0.053041537
30498,0.80761759,0.25893256,0.048873898,0.67846321,0.96368278,0.052178241
30499,0.80768657,0.25643496,0.048984664,0.68083946,0.96495456,0.054505542
30500,0.80767587,0.2559746,0.048948432,0.68125946,0.9651215,0.054321851
30501,0.82121695,0.26264296,0.049166415,0.67525158,0.96290521,0.068885047
30502,0.82056136,0.26211041,0.048974197,0.67566068,0.96054771,0.066799858
30503,0.81993132,0.26826676,0.049655001,0.67139441,0.95644302,0.060639205
30504,0.81972202,0.26790935,0.049630375,0.6716933,0.95655949,0.060603056
30505,0.81966937,0.26694667,0.049531985,0.67225715,0.95838315,0.062429067
30506,0.81266882,0.26511072,0.049674383,0.6738482,0.95833875,0.059031633
30507,0.81230354,0.26564873,0.049727767,0.673452,0.95825025,0.057831619
30508,0.8093353,0.26609979,0.04972147,0.67291218,0.95998151,0.05589534
30509,0.80360831,0.27013885,0.049975377,0.66999712,0.95762366,0.043837396
30510,0.80733286,0.27242074,0.050102367,0.66818025,0.96125721,0.045238344
30511,0.80899555,0.27504974,0.050028278,0.66522048,0.95910098,0.046401713
30512,0.80956632,0.27524085,0.050046776,0.6651151,0.95892621,0.046742229
30513,0.80538751,0.27518791,0.050109015,0.6651289,0.96062898,0.040464217
30514,0.80535224,0.27514282,0.050104156,0.66516041,0.96064363,0.040459044
30515,0.80466066,0.27104638,0.049881403,0.6686253,0.96235695,0.042571554
30516,0.80828714,0.26969199,0.049707414,0.669123,0.96406645,0.05027453
30517,0.80944409,0.26376351,0.049205407,0.67399085,0.96672572,0.054828449
30518,0.81389629,0.26146758,0.049067093,0.6761038,0.96676877,0.061088129
30519,0.81369446,0.26125963,0.049060726,0.67632874,0.96697718,0.060799665
30520,0.81401668,0.26142069,0.049054315,0.67622918,0.96712329,0.061134332
30521,0.80854365,0.25435605,0.048478024,0.68161427,0.96874048,0.06192623
30522,0.80781073,0.25544793,0.048521081,0.68064416,0.96848784,0.059247784
30523,0.8069125,0.25722592,0.048453704,0.67886971,0.96878959,0.059309595
30524,0.8147102,0.26369611,0.04906978,0.67447889,0.96375451,0.065298724
30525,0.81483705,0.26364384,0.049062446,0.67449711,0.9639593,0.065467041
30526,0.80743459,0.27059186,0.049738326,0.66890196,0.96231131,0.05254226
30527,0.81356066,0.2757689,0.050322185,0.66525178,0.96135748,0.057742391
30528,0.81397602,0.27241594,0.049773962,0.66668496,0.96733333,0.058144583
30529,0.81149082,0.26743537,0.049325573,0.67061602,0.9680756,0.059745295
30530,0.80376268,0.27050729,0.049558782,0.66756528,0.96248842,0.048011622
30531,0.80374045,0.27003911,0.049518536,0.66795735,0.96283613,0.047951611
