,sigma8,Omega_cdm,Omega_b,h,n_s
18473,0.81487343,0.26190499,0.04896056,0.67491386,0.96673767
18474,0.81015796,0.26338925,0.048909177,0.67369811,0.96774154
18475,0.80582818,0.26031376,0.048631899,0.67607081,0.96922025
18476,0.80359744,0.2660146,0.049324584,0.67245571,0.9666855
18477,0.80149072,0.26054194,0.049028768,0.67634333,0.96837916
18478,0.80593605,0.26104604,0.049066199,0.67537796,0.96834494
18479,0.80530088,0.26118637,0.049078393,0.67522049,0.96827372
18480,0.8093467,0.26373621,0.049284296,0.67373484,0.96659369
18481,0.80802074,0.26476718,0.049392725,0.672982,0.96550863
18482,0.81027586,0.26017118,0.049029429,0.6766593,0.96695528
18483,0.81026942,0.26008456,0.049025575,0.67675745,0.96698217
18484,0.81206673,0.26269445,0.049193109,0.67458784,0.96593361
18485,0.81135735,0.26839023,0.049758033,0.67023148,0.96289928
18486,0.81132091,0.26805559,0.049749823,0.67057372,0.96322784
18487,0.80468784,0.26622051,0.049528752,0.67210592,0.96336182
18488,0.80369678,0.26510319,0.049328606,0.67298551,0.96369088
18489,0.80650737,0.26496321,0.049471928,0.67352506,0.96106994
18490,0.80931455,0.27042393,0.049925101,0.66935116,0.96034021
18491,0.80977467,0.27101407,0.049989415,0.66889845,0.95979247
18492,0.81185656,0.26754889,0.049753064,0.67180457,0.96085114
18493,0.80902602,0.26563128,0.049602217,0.67324913,0.96131715
18494,0.80879515,0.26577108,0.049611848,0.67317858,0.96136961
18495,0.80959832,0.26869505,0.049801194,0.67097815,0.9596459
18496,0.81254255,0.27107927,0.050038106,0.66899964,0.95842115
18497,0.81511813,0.27017949,0.049812033,0.66963743,0.96321314
18498,0.81021472,0.27267384,0.049892916,0.66688247,0.96147015
18499,0.80992616,0.2631535,0.049138722,0.67479982,0.97043213
18500,0.80992543,0.26355513,0.049189647,0.67450821,0.97046608
18501,0.81522006,0.27125619,0.049472879,0.66819159,0.96514069
18502,0.80315245,0.25743768,0.0484953,0.67911685,0.96987323
18503,0.80596606,0.25406408,0.048216933,0.68170695,0.96678671
18504,0.80148264,0.2538855,0.047983499,0.68181475,0.96805682
18505,0.80237707,0.25284455,0.047894593,0.68220059,0.97203332
18506,0.80273248,0.25670521,0.048138433,0.67913374,0.96966056
18507,0.80354714,0.2573184,0.048239884,0.67878892,0.96937059
18508,0.81029954,0.25934863,0.048442705,0.67692438,0.96512572
18509,0.80940408,0.25924628,0.0484239,0.67695895,0.9654055
18510,0.81155008,0.25866912,0.048402218,0.67763902,0.96565368
18511,0.80581708,0.26295496,0.048763277,0.67445334,0.96066159
18512,0.81397159,0.26529712,0.049176688,0.67212116,0.963585
18513,0.8135943,0.26275477,0.049136421,0.6749855,0.96649598
18514,0.81261709,0.26787002,0.049910131,0.67115029,0.9610136
18515,0.82410829,0.27386917,0.049644728,0.66638233,0.95838144
18516,0.82350545,0.27546372,0.049759955,0.66497914,0.95761186
18517,0.81790229,0.27979211,0.050179219,0.6614249,0.9553147
18518,0.81825213,0.2809039,0.050299872,0.660581,0.9557319
18519,0.81386031,0.27320074,0.049694394,0.66593905,0.95853575
18520,0.81646966,0.2765659,0.050242167,0.66378928,0.95625325
18521,0.81627847,0.27562927,0.050196626,0.66439818,0.95741344
18522,0.81620936,0.27305528,0.049998252,0.66655989,0.95853602
18523,0.80966025,0.27656321,0.050276052,0.66395806,0.95786176
18524,0.81408571,0.27850528,0.050283133,0.6626059,0.95686391
18525,0.81575753,0.27687384,0.050248385,0.66418041,0.95650662
18526,0.81737065,0.27639587,0.050242843,0.66461357,0.95681156
18527,0.81766326,0.27302562,0.050082954,0.66692299,0.95932295
18528,0.81877546,0.27065402,0.050015056,0.66856051,0.95989543
18529,0.81918675,0.27072553,0.050024933,0.66851744,0.95995086
18530,0.81805988,0.26401259,0.049483058,0.67362103,0.96622098
18531,0.82228546,0.26223183,0.049211652,0.67577857,0.96685371
18532,0.80803555,0.26265081,0.049138997,0.67531478,0.96991571
18533,0.80936929,0.26520406,0.049447266,0.67294825,0.96866074
18534,0.81147829,0.27054044,0.049520191,0.66800457,0.96578968
18535,0.81437005,0.27435288,0.049966691,0.66536647,0.9553571
18536,0.81414426,0.27305846,0.049892061,0.66630806,0.95841674
18537,0.81204396,0.26958932,0.049493716,0.66890764,0.95979866
18538,0.81446425,0.26782444,0.049305113,0.66989403,0.96056984
18539,0.8087283,0.26722381,0.049474547,0.67098914,0.95743708
18540,0.80733055,0.26673955,0.049457239,0.67140089,0.95919437
18541,0.80385203,0.26307623,0.049316941,0.67507561,0.96556364
18542,0.81351869,0.26837998,0.049793011,0.67074484,0.96722742
18543,0.80558272,0.26133101,0.048932863,0.67601562,0.96854724
18544,0.80665633,0.26133221,0.048899469,0.67651883,0.96728976
18545,0.80689547,0.26145263,0.048908247,0.67644432,0.96746449
18546,0.81401415,0.25668331,0.048574526,0.68014424,0.96867578
18547,0.81021458,0.26758266,0.049480364,0.67160208,0.96431861
18548,0.80754436,0.26651715,0.049378795,0.67228964,0.96273211
18549,0.81288214,0.25833775,0.048824447,0.67938603,0.9672737
18550,0.81340092,0.25888025,0.048856815,0.67890955,0.96692961
18551,0.80032129,0.251558,0.047896033,0.68370225,0.97089503
18552,0.79910219,0.2506899,0.047865296,0.68439627,0.97146691
18553,0.80056065,0.26722947,0.049374129,0.67135891,0.96546328
18554,0.79927209,0.26648665,0.049318587,0.67195891,0.96563813
18555,0.80486924,0.26373248,0.049195752,0.67363909,0.96958651
18556,0.80556088,0.26438246,0.049281931,0.67329567,0.96942232
18557,0.80384814,0.27135985,0.050001263,0.66758807,0.96344679
18558,0.80219424,0.2681586,0.049746814,0.66996061,0.96469914
18559,0.80340991,0.26233518,0.048813692,0.67385992,0.96762498
18560,0.80444909,0.26109194,0.049092212,0.67599463,0.96138179
18561,0.80473612,0.26124133,0.049098823,0.67585913,0.96129268
18562,0.81370178,0.2630287,0.049225246,0.67421189,0.96193944
18563,0.81520404,0.2734013,0.049785553,0.66595909,0.96143096
18564,0.81802533,0.26470748,0.048989987,0.6732653,0.96617965
18565,0.81426508,0.26241715,0.048763151,0.67453843,0.96483151
18566,0.81436061,0.26248297,0.048766841,0.67448052,0.96479266
18567,0.81494379,0.26259719,0.048768827,0.67436589,0.96528481
18568,0.82183207,0.26204037,0.049093475,0.67587931,0.96413943
18569,0.8203636,0.25942264,0.049012368,0.67863299,0.96454384
18570,0.82111608,0.25958105,0.049094271,0.67879635,0.9627721
