,sigma8,Omega_cdm,Omega_b,h,n_s
10281,0.8066597,0.25829513087875683,0.04883928835502742,0.6782959,0.9673375
10282,0.8115705,0.2621710194241937,0.04917605511736516,0.6755127000000001,0.9666359
10283,0.8029338,0.2637193542183673,0.049277948228599086,0.6742919999999999,0.9667339
10284,0.8025034,0.26137646314099444,0.0491020225519525,0.6762451,0.9684293
10285,0.8028457,0.2623049415745299,0.04925056823151608,0.6752197,0.9687106
10286,0.8012502,0.2639202080114274,0.049308790243210665,0.6739502,0.9673175
10287,0.7983628,0.26531214580508206,0.049473453171302285,0.6730225,0.9680171
10288,0.8042852,0.26667957199921877,0.04959630889521519,0.6718017999999999,0.9662075
10289,0.8029928,0.26348964654758195,0.049424048223956595,0.6743408,0.9672136
10290,0.8022713,0.2629936480695884,0.04935032252608736,0.6746338000000001,0.9672814
10291,0.8021202,0.2636037700339098,0.04930364732382813,0.6742431999999999,0.9655921
10292,0.8041842,0.26366169772295855,0.049266186597531875,0.6741455000000001,0.9660126
10293,0.804492,0.2606066621565548,0.04898335177295918,0.6768311,0.9653298
10294,0.8053015,0.2619206732768998,0.04905110219371611,0.6759521,0.9661855
10295,0.8051703,0.2617500171275873,0.04902445441666806,0.6760497999999999,0.9663103
10296,0.8073423,0.26522161855605597,0.04904191283258735,0.672876,0.962955
10297,0.8071981,0.25734284799884716,0.04836620121076416,0.6787842000000001,0.9654914
10298,0.8020298,0.2590794265934913,0.048546976592608544,0.6766846,0.9635523
10299,0.8003413,0.262379825250364,0.04911199781058612,0.6747803,0.960585
10300,0.8010549,0.26020218741312107,0.04895694757051493,0.6767333999999999,0.9621276
10301,0.8007274,0.26008996312709975,0.04894211626528531,0.6768311,0.9621272
10302,0.8026777,0.25998731569088546,0.048917521915815866,0.6770752,0.9608023
10303,0.8007629,0.2592898446287571,0.048754745423559315,0.6774169999999999,0.9611202
10304,0.8112117,0.2575381800007437,0.04827495165704489,0.6778076,0.9713562
10305,0.808885,0.2593239737336238,0.04846842091508786,0.6768311,0.9692603
10306,0.8148381,0.262965605665843,0.048940954221017366,0.6743408,0.9693205
10307,0.8165613,0.2637453158413798,0.049008514257270645,0.6737061,0.9680513
10308,0.814093,0.25981760633560147,0.04881992812975666,0.6770752,0.9677101
10309,0.8127675,0.259113626230361,0.048848558420623266,0.6775146,0.9682859
10310,0.8126791,0.2586055872317053,0.04879623975525321,0.6778564,0.9684383
10311,0.8141936,0.25942807821758856,0.0488909090105533,0.6772217,0.967417
10312,0.8149412,0.2607634699580019,0.04898673840613225,0.676001,0.9674383
10313,0.8161813,0.2615129598357915,0.04906145376333656,0.675415,0.9670234
10314,0.8109081,0.2587073657399489,0.048822032880665306,0.6773682,0.9683968
10315,0.8116613,0.2590021775299309,0.04884529795025651,0.6779053,0.9740811
10316,0.8088335,0.2543013102118381,0.048437736442180974,0.6824463000000001,0.9726207
10317,0.8043086,0.2575644660273396,0.04889002673390581,0.6797607000000001,0.9709536
10318,0.8050777,0.25846854270474634,0.04895248528366356,0.6789795,0.9689389
10319,0.7985949,0.25823317466480805,0.048907031465437505,0.6782471,0.9683892
10320,0.7985518,0.25784584234687613,0.048880599549885495,0.6785889,0.9685372
10321,0.7991469,0.25753536104696123,0.04889390834175019,0.6787842000000001,0.9690676
10322,0.8066803,0.26276817906965316,0.04941210914778422,0.6752197,0.9709173
10323,0.8080847,0.26152509690213166,0.04934770349444066,0.6765869000000001,0.9702243
10324,0.8126817,0.2581289357733611,0.04910206053900562,0.6795654,0.9711622
10325,0.797754,0.2498999052537384,0.048224268534392406,0.6861571999999999,0.9710007
10326,0.8001516,0.2531508651040215,0.04832125608427547,0.6828369000000001,0.9682536
10327,0.8013814,0.25289402768072117,0.048193206515701366,0.6830811,0.9692223
10328,0.8054302,0.2606467570958696,0.049058506968200674,0.6762451,0.964076
10329,0.8080551,0.2633869494885085,0.04933795422261341,0.6743408,0.9641986
10330,0.8085456,0.26339112774144724,0.049336700746731785,0.6743408,0.9641592
10331,0.8087507,0.263984325285919,0.04939430751990915,0.6738037,0.9643106
10332,0.8060955,0.2631408723812211,0.049299580267991736,0.6743408,0.9639573
10333,0.8062966,0.26290963507402465,0.049343319091674505,0.6744873,0.9638705
10334,0.8074996,0.2625125002015501,0.04929246874568096,0.6748291000000001,0.9631318
10335,0.8104351,0.26554334184958306,0.049519542601735356,0.6721924,0.9616044
10336,0.8100633,0.2612640486824376,0.049337676621399686,0.6765869000000001,0.9622239
10337,0.8034315,0.2638113297145538,0.04957012217346969,0.673999,0.959815
10338,0.8006574,0.26230996187348654,0.04945703851002531,0.6753174,0.9613518
10339,0.8000202,0.2606091344040753,0.049319239408226315,0.6765869000000001,0.9617815
10340,0.8037944,0.2613288250492192,0.049493820776676745,0.6763916000000001,0.9627206
10341,0.810122,0.26353302724320926,0.04962288910645264,0.6748779,0.9594189
10342,0.8073633,0.26331695733192284,0.049589284818042055,0.6753662,0.9591176
10343,0.8093483,0.26292951478226784,0.04947359854086308,0.6757080000000001,0.9619586
10344,0.8103619,0.2679384661187989,0.049970095864898194,0.6718994,0.9618067
10345,0.8070805,0.26651155774210183,0.04979303601329399,0.6731201,0.9646528
10346,0.802501,0.2709189671582006,0.04983291589063737,0.6687744000000001,0.9619087
10347,0.8038763,0.26931044113382063,0.04961532910009178,0.6700439,0.9632991
10348,0.8019096,0.26614542030501476,0.04933902787208732,0.6724365,0.9633724
10349,0.8037397,0.26661359989814354,0.04954439597939302,0.6723877,0.9624871
10350,0.804237,0.2656941349824995,0.0495591490139963,0.6733154,0.961683
10351,0.8019499,0.26256393590224486,0.04927961323464961,0.6757568,0.9631354
10352,0.8000612,0.2623502006719529,0.04933828755686489,0.676001,0.9653465
10353,0.8006635,0.25841653914272056,0.04899687091293915,0.6793213,0.9678081
